date,ncumul_conf
05/12/2021,8509.0
06/12/2021,23305.0
06/12/2021,37704.0
08/12/2021,5568.0
08/12/2021,24843.0
09/12/2021,40505.0
09/12/2021,51063.0
10/12/2021,14834.0
10/12/2021,24415.0
12/12/2021,5726.0
12/12/2021,80639.0
13/12/2021,15131.0
13/12/2021,25209.0
15/12/2021,46821.0
15/12/2021,5943.0
16/12/2021,5906.0
16/12/2021,83637.0
17/12/2021,85549.0
17/12/2021,6228.0
19/12/2021,27111.0
19/12/2021,11111.0
20/12/2021,6420.0
20/12/2021,5867.0
22/12/2021,124886.0
22/12/2021,36012.0
23/12/2021,87045.0
23/12/2021,10076.0
24/12/2021,27541.0
24/12/2021,44517.0
26/12/2021,44815.0
26/12/2021,24952.0
27/12/2021,206695.0
