SNo,Confirmed
40320.0,3960.0
40321.0,1673.0
40384.0,10547.0
40385.0,6594.0
40448.0,28340.0
40449.0,1349.0
40512.0,25176.0
40513.0,9768.0
40576.0,18.0
40577.0,22008.0
40640.0,8610.0
40641.0,509.0
40704.0,9295.0
40705.0,1251.0
40768.0,3313.0
40769.0,1584.0
40832.0,856.0
40833.0,82.0
40896.0,39146.0
40897.0,2510.0
40960.0,149.0
40961.0,9871.0
41024.0,5308.0
41025.0,951.0
41088.0,277.0
41089.0,239.0
41152.0,78.0
41153.0,583.0
41216.0,101335.0
41217.0,2400.0
41280.0,53241.0
41281.0,59918.0
41344.0,953.0
41345.0,14238.0
41408.0,2579.0
41409.0,65736.0
41472.0,67.0
41473.0,3498.0
41536.0,3143.0
41537.0,926.0
41600.0,2.0
41601.0,3259.0
41664.0,2322.0
41665.0,2938.0
41728.0,1010.0
41729.0,134751.0
41792.0,1081.0
41793.0,3498.0
41856.0,1735.0
41857.0,45.0
41920.0,1692.0
41921.0,6931.0
41984.0,76.0
41985.0,69.0
42048.0,96.0
42049.0,1973.0
42112.0,1464.0
42113.0,980.0
42176.0,22199.0
42177.0,673.0
42240.0,11404.0
42241.0,1279.0
42304.0,13.0
42305.0,187.0
42368.0,8569.0
42369.0,336.0
42432.0,1141.0
42433.0,497.0
42496.0,21.0
42497.0,5318.0
42560.0,5585.0
42561.0,5811.0
42624.0,77.0
42625.0,2270.0
42688.0,5633.0
42689.0,6758.0
42752.0,3040.0
42753.0,60.0
42816.0,2472.0
42817.0,19.0
42880.0,229.0
42881.0,31131.0
42944.0,108.0
42945.0,1171.0
43008.0,4112.0
43009.0,37503.0
43072.0,1066.0
43073.0,5146.0
43136.0,559.0
43137.0,18472.0
43200.0,21728.0
43201.0,30693.0
43264.0,8417.0
43265.0,2340.0
43328.0,1021.0
43329.0,3122.0
43392.0,1314.0
43393.0,10188.0
43456.0,2581.0
43457.0,11.0
43520.0,192287.0
43521.0,4114.0
43584.0,21962.0
43585.0,8.0
43648.0,58018.0
43649.0,2131.0
43712.0,4613.0
43713.0,1056.0
43776.0,362.0
43777.0,122.0
43840.0,920.0
43841.0,378.0
43904.0,11083.0
43905.0,1096.0
43968.0,261.0
43969.0,12950.0
44032.0,13.0
44033.0,18.0
44096.0,19990.0
44097.0,5966.0
44160.0,11083.0
44161.0,27.0
44224.0,104.0
44225.0,792.0
44288.0,500.0
44289.0,82.0
44352.0,3135.0
44353.0,24.0
44416.0,7242.0
44417.0,1055.0
44480.0,1980.0
44481.0,303.0
44544.0,1276.0
44545.0,10386.0
44608.0,74.0
44609.0,2491.0
44672.0,121.0
44673.0,440.0
44736.0,2948.0
44737.0,1794.0
44800.0,3015.0
44801.0,15015.0
44864.0,2115.0
44865.0,12.0
44928.0,538.0
44929.0,1269.0
44992.0,23.0
44993.0,11868.0
45056.0,84441.0
45057.0,23080.0
45120.0,44.0
45121.0,7518.0
45184.0,39.0
45185.0,17894.0
45248.0,1933.0
45249.0,60912.0
45312.0,2771.0
45313.0,2869.0
45376.0,120504.0
45377.0,2878.0
45440.0,853.0
45441.0,164.0
45504.0,2736.0
45505.0,13857.0
45568.0,236.0
45569.0,10247.0
45632.0,1792.0
45633.0,1563.0
45696.0,210.0
45697.0,883.0
45760.0,620.0
45761.0,8535.0
45824.0,755.0
45825.0,44145.0
45888.0,47799.0
45889.0,777.0
45952.0,62.0
45953.0,7015.0
46016.0,1124.0
46017.0,756.0
46080.0,47.0
46081.0,473.0
46144.0,2069.0
46145.0,211921.0
46208.0,80072.0
46209.0,35093.0
46272.0,716.0
46273.0,3131.0
46336.0,1195.0
46337.0,4589.0
46400.0,855.0
46401.0,176.0
46464.0,12.0
46465.0,12306.0
46528.0,0.0
46529.0,696.0
46592.0,30.0
46593.0,441.0
46656.0,89863.0
46657.0,627.0
46720.0,14027.0
46721.0,122.0
46784.0,514.0
46785.0,1314.0
46848.0,2642.0
46849.0,236.0
46912.0,30.0
46913.0,29.0
46976.0,16039.0
46977.0,18587.0
47040.0,56845.0
47041.0,5143.0
47104.0,1408.0
47105.0,1743.0
47168.0,986.0
47169.0,10498.0
47232.0,337.0
47233.0,14200.0
47296.0,833.0
47297.0,941.0
47360.0,4911.0
47361.0,402.0
47424.0,49.0
